-300, -7000.23163258858
-297, -6955.240831983334
-294, -6884.353008454285
-291, -6813.463328349659
-288, -6742.5736486344085
-285, -6671.683968919113
-282, -6600.794289203812
-279, -6529.904609488511
-276, -6459.014929773208
-273, -6388.125250057912
-270, -6317.235570342611
-267, -6246.345890627308
-264, -6175.456210912009
-261, -6104.566531196708
-258, -6033.676851476923
-255, -5962.787227044193
-252, -5891.390674412984
-249, -5824.669652156852
-246, -5750.121344802243
-243, -5684.410078738983
-240, -5613.51892441205
-237, -5542.629240454771
-234, -5471.739560739999
-231, -5400.8498840057655
-228, -5329.9429699270295
-225, -5264.2468878413965
-222, -5198.371875002804
-219, -5132.976702455064
-216, -5072.333995889272
-213, -5008.6117786615305
-210, -4940.970982515084
-207, -4880.376763900604
-204, -4814.555717097162
-201, -4748.932070455281
-198, -4683.118232003404
-195, -4612.3355022706855
-192, -4541.445808501536
-189, -4470.556128787679
-186, -4399.666449072378
-183, -4328.7767693561145
-180, -4257.887103977193
-177.00000000000003, -4186.852418391745
-174, -4111.038577393167
-171.00000000000003, -4045.2205157769004
-168, -3974.3283771675087
-165.00000000000003, -3903.506170249433
-162, -3837.596307355252
-159.00000000000003, -3761.6570271947257
-156, -3690.768996071167
-153.00000000000003, -3614.173755684089
-150, -3543.9357966648295
-147.00000000000003, -3467.738600990411
-144, -3386.531000338251
-141.00000000000003, -3306.535868454299
-138, -3234.7278311614755
-135.00000000000003, -3153.1183194199057
-132, -3071.8299391725523
-129.00000000000003, -2995.7326077818907
-126, -2920.063492871488
-123.00000000000003, -2843.641722494938
-120, -2772.7515845104936
-117.00000000000003, -2701.8619048620876
-114.00000000000003, -2630.9722251467774
-111.00000000000003, -2560.0825454314727
-108.00000000000003, -2489.1928657138396
-105.00000000000003, -2418.3032351116253
-102.00000000000003, -2346.8559593326972
-99, -2282.1834832420536
-96, -2205.634879146921
-93.00000000000003, -2134.7444670940586
-90.00000000000003, -2063.854787424334
-87, -1992.9651079292198
-84, -1922.072569086151
-81.00000000000003, -1856.2287909780189
-78.00000000000003, -1780.4444319230006
-75, -1709.4063775504565
-72, -1638.5167091327276
-69.00000000000006, -1567.6270294172155
-66, -1496.7373497019125
-63, -1425.8476699867406
-60, -1354.9579892133952
-57.00000000000006, -1284.0747216779127
-54, -1213.2559403338328
-51, -1142.2835548224284
-48.00000000000006, -1071.310968341213
-45.00000000000006, -1000.5096063505771
-42, -929.619911977672
-39, -858.7302322641899
-36.00000000000006, -787.8405525492562
-33.00000000000006, -716.9508733485782
-30, -646.030925685196
-27, -580.3415228949616
-24.000000000000057, -514.5032354569103
-21.000000000000057, -445.0292692442508
-18, -383.21185657826936
-15, -322.69893390563993
-12.000000000000057, -261.1720088977381
-9, -189.7987925149191
-6, -131.22413234214582
-3, -70.50489578475754
-5.684341886080802e-14, 5.874710798967499
3, 76.35330622432775
6, 157.80689805189286
9, 228.53024900988748
11.999999999999943, 310.1055639661372
15, 391.40993976886784
18, 473.02653118740454
20.999999999999943, 544.1278417005069
23.999999999999943, 624.7687863765514
27, 700.8391288161547
30, 771.7324018970994
32.99999999999994, 842.6220809029801
35.99999999999994, 913.5117606183812
39, 984.4014403336841
42, 1055.291120048987
44.99999999999994, 1126.180799764289
47.99999999999994, 1197.070479479591
51, 1267.960159194894
54, 1338.8498389101942
56.99999999999994, 1409.739518625498
59.99999999999994, 1480.6291983408
63, 1551.5188780561011
66, 1622.408557771405
68.99999999999994, 1693.2982374867079
71.99999999999994, 1764.1879172020108
75, 1835.0775969173155
77.99999999999994, 1905.9672766327276
80.99999999999994, 1976.8569564109448
83.99999999999994, 2047.738900031156
87, 2113.390545055794
89.99999999999994, 2189.516194631872
92.99999999999994, 2260.4149729245664
96, 2326.5378472408374
